county_name,median_household_income,housing_units,state_fips,county_fips
"Owyhee County, Idaho",58440,4760,16,073
"Payette County, Idaho",62721,9802,16,075
"Power County, Idaho",56671,2948,16,077
"Shoshone County, Idaho",44807,7021,16,079
"Teton County, Idaho",88906,5958,16,081
"Twin Falls County, Idaho",61183,35014,16,083
"Valley County, Idaho",72878,12359,16,085
"Washington County, Idaho",50046,4551,16,087
"Adams County, Illinois",63767,30226,17,001
"Alexander County, Illinois",40365,3000,17,003
"Bond County, Illinois",58617,6895,17,005
"Boone County, Illinois",80502,20183,17,007
"Brown County, Illinois",64760,2342,17,009
"Bureau County, Illinois",64165,15640,17,011
"Calhoun County, Illinois",88059,2322,17,013
"Carroll County, Illinois",61539,8197,17,015
"Cass County, Illinois",64826,5684,17,017
"Champaign County, Illinois",61090,93444,17,019
"Christian County, Illinois",56933,15210,17,021
"Clark County, Illinois",65874,7365,17,023
"Clay County, Illinois",58028,6171,17,025
"Clinton County, Illinois",78054,15628,17,027
"Coles County, Illinois",53732,22786,17,029
"Cook County, Illinois",78304,2261319,17,031
"Crawford County, Illinois",64163,8481,17,033
"Cumberland County, Illinois",71274,4734,17,035
"DeKalb County, Illinois",68617,41399,17,037
"De Witt County, Illinois",61823,7333,17,039
"Douglas County, Illinois",67177,8484,17,041
"DuPage County, Illinois",107035,365347,17,043
"Edgar County, Illinois",56687,8265,17,045
"Edwards County, Illinois",60784,3055,17,047
"Effingham County, Illinois",73181,15313,17,049
"Fayette County, Illinois",51962,8839,17,051
"Ford County, Illinois",58930,6266,17,053
