,GEOID,NAMELSAD
2788,36061,New York County
2789,05007,Benton County
2790,72071,Isabela Municipio
2791,12083,Marion County
2792,51135,Nottoway County
2793,34041,Warren County
2794,36021,Columbia County
2795,51690,Martinsville city
2796,29165,Platte County
2797,29021,Buchanan County
2798,01083,Limestone County
2799,18065,Henry County
2800,31143,Polk County
2801,39123,Ottawa County
2802,27107,Norman County
2803,27053,Hennepin County
2804,42027,Centre County
2805,48025,Bee County
2806,47077,Henderson County
2807,19171,Tama County
2808,20175,Seward County
2809,19135,Monroe County
2810,31147,Richardson County
2811,17021,Christian County
2812,12089,Nassau County
2813,12133,Washington County
2814,13007,Baker County
2815,13275,Thomas County
2816,21005,Anderson County
2817,21185,Oldham County
2818,13057,Cherokee County
2819,38065,Oliver County
2820,26133,Osceola County
2821,47109,McNairy County
2822,53001,Adams County
2823,29057,Dade County
2824,22101,St. Mary Parish
2825,50007,Chittenden County
2826,69085,Northern Islands Municipality
2827,27079,Le Sueur County
2828,53017,Douglas County
2829,36009,Cattaraugus County
2830,55027,Dodge County
2831,19105,Jones County
2832,20007,Barber County
2833,29169,Pulaski County
2834,47151,Scott County
2835,46031,Corson County
2836,46053,Gregory County
2837,37181,Vance County
2838,21033,Caldwell County
2839,45011,Barnwell County
2840,47039,Decatur County
2841,18009,Blackford County
2842,01055,Etowah County
2843,16025,Camas County
2844,20155,Reno County
2845,40001,Adair County
2846,39085,Lake County
2847,51775,Salem city
2848,51121,Montgomery County
2849,47065,Hamilton County
2850,35035,Otero County
2851,35003,Catron County
2852,01091,Marengo County
2853,56023,Lincoln County
2854,29011,Barton County
2855,48057,Calhoun County
2856,51735,Poquoson city
2857,54075,Pocahontas County
2858,48077,Clay County
2859,51095,James City County
2860,31101,Keith County
2861,31137,Phelps County
2862,22019,Calcasieu Parish
2863,22111,Union Parish
2864,40135,Sequoyah County
2865,42073,Lawrence County
2866,39067,Harrison County
2867,37003,Alexander County
2868,34009,Cape May County
2869,33005,Cheshire County
2870,27089,Marshall County
2871,51101,King William County
2872,08055,Huerfano County
2873,48255,Karnes County
2874,47023,Chester County
2875,17171,Scott County
2876,48003,Andrews County
2877,39109,Miami County
2878,31169,Thayer County
2879,47033,Crockett County
2880,19079,Hamilton County
2881,39165,Warren County
2882,13255,Spalding County
2883,34019,Hunterdon County
2884,29217,Vernon County
2885,18121,Parke County
2886,19069,Franklin County
2887,13035,Butts County
