geo_id,county_name,total_energy_consumption_mwh,,,
38075,Renville County,"90,196",,,
48283,La Salle County,"116,860",,,
36067,Onondaga County,"3,403,983",,,
19087,Henry County,"359,324",,,
31083,Harlan County,"58,989",,,
30075,Powder River County,"24,274",,,
72075,Juana Díaz Municipio,"254,148",,,
55091,Pepin County,"86,338",,,
1021,Chilton County,"782,671",,,
48351,Newton County,"210,535",,,
48219,Hockley County,"364,052",,,
13009,Baldwin County,"601,452",,,
37175,Transylvania County,"428,279",,,
37171,Surry County,"927,269",,,
1031,Coffee County,"925,501",,,
39149,Shelby County,"642,133",,,
16027,Canyon County,"3,455,412",,,
55041,Forest County,"108,205",,,
55113,Sawyer County,"209,871",,,
34017,Hudson County,"5,563,851",,,
39151,Stark County,"642,133",,,
48187,Guadalupe County,"3,070,335",,,
53029,Island County,"1,009,715",,,
54037,Jefferson County,"1,081,596",,,
51153,Prince William County,"7,810,858",,,
42029,Chester County,"6,029,964",,,
54055,Mercer County,"1,125,768",,,
47145,Roane County,"791,962",,,
2066,Copper River Census Area,"21,696",,,
2063,Chugach Census Area,"57,760",,,
28049,Hinds County,"3,684,325",,,
48281,Lampasas County,"360,239",,,
51107,Loudoun County,"6,930,903",,,
29185,St. Clair County,"118,483",,,
36025,Delaware County,"324,544",,,
30071,Phillips County,"58,415",,,
29129,Mercer County,"45,687",,,
46127,Union County,"246,556",,,
1051,Elmore County,"1,562,707",,,
13187,Lumpkin County,"454,941",,,
39083,Knox County,"829,454",,,
19017,Bremer County,"436,054",,,
48175,Goliad County,"119,027",,,
37089,Henderson County,"1,533,774",,,
12061,Indian River County,"1,942,899",,,
48393,Roberts County,"12,163",,,
31049,Deuel County,"34,447",,,
36051,Livingston County,"452,554",,,
19141,O'Brien County,"247,974",,,
22075,Plaquemines Parish,"517,021",,,
28115,Pontotoc County,"526,869",,,
27105,Nobles County,"254,980",,,
27001,Aitkin County,"180,676",,,
38071,Ramsey County,"450,903",,,
37145,Person County,"506,457",,,
20195,Trego County,"40,203",,,
28151,Washington County,"771,893",,,
48133,Eastland County,"298,785",,,
28055,Issaquena County,"18,800",,,
48123,DeWitt County,"333,208",,,
48005,Angelina County,"1,463,281",,,
45081,Saluda County,"306,277",,,
29125,Maries County,"108,501",,,
5001,Arkansas County,"291,024",,,
29109,Lawrence County,"489,109",,,
51540,Charlottesville city,"747,444",,,
17011,Bureau County,"354,939",,,
39145,Scioto County,"959,657",,,
37115,Madison County,"276,208",,,
16053,Jerome County,"331,427",,,
39163,Vinton County,"170,852",,,
48309,McLennan County,"4,482,797",,,
16037,Custer County,"58,809",,,
19089,Howard County,"165,842",,,
12099,Palm Beach County,"17,628,990",,,
13181,Lincoln County,"105,360",,,
1013,Butler County,"334,673",,,
27003,Anoka County,"4,232,231",,,
46009,Bon Homme County,"105,384",,,
47059,Greene County,"1,060,718",,,
51183,Sussex County,"175,805",,,
18141,St. Joseph County,"4,033,685",,,
38067,Pembina County,"267,799",,,
19165,Shelby County,"206,075",,,
24013,Carroll County,"1,694,564",,,
19011,Benton County,"449,927",,,
21159,Martin County,"188,916",,,
27025,Chisago County,"646,290",,,
