geo_id,county_name,named_wetlands,wetland_count
06001,Alameda County,"['Main Marsh', 'South Marsh', 'Oro Loma Marsh', 'D.U.S.T. Marsh', 'H.A.R.D. Marsh', 'Hayward Marsh', 'Cogswell Marsh', 'Cull Canyon Lake', 'M3', 'M4', 'M6', 'A21', 'M5', 'A20', 'A19', 'Stivers Lagoon Nature Area', 'Tule Ponds at Tyson Lagoon']",121
06003,Alpine County,['Lower Beebe Lake'],46
06007,Butte County,[],52
06009,Calaveras County,[],3
06011,Colusa County,[],19
06013,Contra Costa County,"['Wildcat Creek Marsh', 'San Pablo Creek Marsh', 'Stege Marsh', 'Hoffman Marsh', 'Lake Lasalle', 'Breuner Marsh', 'Hazard Pond']",370
06015,Del Norte County,[],2
06017,El Dorado County,"['Bryan Meadow', 'Benwood Meadow', 'Osgood Swamp', 'Hell Hole']",80
06019,Fresno County,"['Gloria Meadow', 'Mill Creek Meadow', 'Cow Meadow', 'Crater Lake Meadow', 'Fawn Meadow', 'Bear Meadow', 'Lakecamp Meadow', 'Darwin Meadow', 'Warm Creek Meadow', 'Boggy Meadow', 'Fox Meadow', 'Horse Heaven']",136
06021,Glenn County,[],7
06023,Humboldt County,"['The Basin', 'Bell Swamps']",53
06025,Imperial County,[],19
06027,Inyo County,"['Rocky Bottom Lake', 'High Meadows']",15
06033,Lake County,['Thurston Lake'],6
06035,Lassen County,"['Cameron Meadow', 'Cooper Swamp', 'Hole in the Ground']",165
06037,Los Angeles County,"['Gardena Willows Wetland Preserve', 'Ballona Wetlands Ecological Reserve', 'Wetland Park', 'Oxford Retention Basin', 'Golden Shore Marine Biological Reserve', 'Marketplace Marsh', 'Zedler Marsh', 'Bixby Ranch Wetlands', 'Steamshovel Slough', 'Bryant Retained', 'Dominguez Gap']",38
06039,Madera County,"['Gordon Meadow', 'Nichols Meadow', 'Poison Meadow', 'Chipmunk Meadow', 'Stevenson Meadow', 'Corral Meadow', 'Naked Lady Meadow', 'Spano Meadow', 'Cargyle Meadow', 'Stairway Meadow', 'Lower Lyell Fork Meadow', 'Upper Lyell Fork Meadow', 'Crater Meadow', 'Upper Crater Meadow', 'Soda Springs', 'Johnston Meadow']",142
06041,Marin County,"['Horseshoe Pond', 'Rodeo Lake', 'Mono Street Marsh', 'Azalea Flat', 'Hidden Lake', 'Beach Drive Wetlands', 'Olema Marsh', 'Scottsdale Marsh', 'Deer Island Basin', 'Rush Creek Marsh Wildlife Area', 'Baccaglio Basin', 'West Deer Island Basin', 'Lynwood Stormwater Basin', 'Farmers Basin']",207
06043,Mariposa County,"['Turner Meadow', 'Ribbon Meadow', 'Eagle Peak Meadows', 'The Fen', 'Starr King Meadow', 'Lost Lake']",144
06045,Mendocino County,[],54
06047,Merced County,"['C. E. Van Atta Interpretive Marsh and walking trail', 'Lower Ruth Lake', 'Duck Pond', 'Mud Slough', 'Olson Pond']",897
06049,Modoc County,['Dismal Swamp'],256
06051,Mono County,"['Spooky Meadow', ""Tatum's Hole"", 'Upper Horse Meadow', 'Lower Horse Meadow', 'Mormon Meadow', 'Sky Meadows', 'Yost Meadow', 'Glass Creek Meadow', 'Adobe Reservoir Wetland', 'River Spring Lakes', 'Lower Piute Meadows', 'Tule Lake', 'Topaz Lake']",110
06055,Napa County,[],38
06057,Nevada County,"['Middle Lake', 'Lytton Lake', 'Buck Meadow']",173
06059,Orange County,"['Upper Newport Bay State Marine Conservation Area', 'Fairview Wetlands', 'Warner Pond', 'Bolsa Chica Wetlands', 'Bubbles Lake']",32
06061,Placer County,"['Scott Meadow', 'Olympic Meadow']",215
06063,Plumas County,"['Stump Ranch', 'Cameron Meadows', 'Deer Meadow', 'Hay Meadow', 'Indian Meadow', 'Bear Wallow', 'Summit Marsh', 'Crocker Meadows']",362
06065,Riverside County,['Skunk Hollow Vernal Pool'],110
06067,Sacramento County,"['River Otter', 'Flamingos', 'American Alligator', 'Iron Point Wetlands']",109
06071,San Bernardino County,[],1
06073,San Diego County,"['Rain Water Catchment', 'Vernal Pool', 'Sentenac Cienega', 'Loma Alta Marsh', 'Ecological Reserve', 'Middle Willows']",153
06075,San Francisco County,['Quartermaster Reach'],19
06077,San Joaquin County,['Devils Isle'],458
06081,San Mateo County,"['Lake Mathilda', 'Bat Ray Island']",50
06085,Santa Clara County,"['Palo Alto Flood Basin', 'Emily Renzel Wetlands', 'Casey Forebay', 'Harriet Mundy Marsh', 'Knapp Tract', 'Harvey Marsh', 'Gold Street Ponds', 'A12', 'A13', 'A15', 'Triangle Marsh']",48
06087,Santa Cruz County,"['Scott Creek Marsh', ""White's Lagoon"", 'Amaya Pond']",13
06089,Shasta County,"['South Volonte Wetlands', 'Lower Kings Creek Meadow', 'Paradise Meadows', 'Corral Meadow', 'Mud Lake']",319
06091,Sierra County,['Anderson Meadow'],67
06093,Siskiyou County,"['Dale Meadows', 'Clear Creek Springs', 'Elk Meadow', 'Grass Lake', 'Shovel Creek Meadows', 'Deep Lake', 'Laird Lake', 'Lower Klamath Lake Sump', 'Summit Lake', 'Crumes Lake', 'Gillem Lakes', 'Lake One', 'Tule Lake']",587
06095,Solano County,"['Southampton Bay Wetland Natural Preserve', 'Freeman Island', 'Point Buckler Island']",137
06097,Sonoma County,"['Tolay Lake', 'Laguna Preserve', 'Ledson Marsh']",34
06099,Stanislaus County,"['Richie Slough', 'Lake Ramona', 'Brush Lake']",337
06101,Sutter County,[],7
06103,Tehama County,['Spencer Meadow'],59
06105,Trinity County,"['The Frying Pan', 'Keystone Flat', 'Bear Valley Meadows', 'Chipmunk Meadow', 'Upper Deadfall Meadows', 'Horse Heaven Meadows']",403
06109,Tuolumne County,"['Cottonwood Meadow', 'Smith Meadow', 'Beehive', 'Horse Meadow']",191
06113,Yolo County,[],12
06115,Yuba County,[],64
08001,Adams County,"['Badding Reservoir', 'Ranch Creek Wetlands Open Space', 'Todd Reservoir']",72
08003,Alamosa County,[],69
08005,Arapahoe County,['Englewood Reservoir'],165
08007,Archuleta County,[],2
08009,Baca County,['John L Jones Reservoir'],2
08011,Bent County,['Muddy Creek Reservoir'],9
08013,Boulder County,"['Sombrero Marsh', 'Saint Joe Reservoir']",52
08014,Broomfield County,['Envirionmental Sensative Area'],7
08015,Chaffee County,['Holywater Beaver Ponds'],32
08017,Cheyenne County,[],1
08019,Clear Creek County,['Geneva Creek Iron Fens'],5
08021,Conejos County,[],55
08023,Costilla County,[],11
08025,Crowley County,[],9
08027,Custer County,[],19
08029,Delta County,['Trickle Reservoir'],61
08031,Denver County,[],91
08033,Dolores County,"['Cold Reservoir', 'Dunton Meadows']",42
08035,Douglas County,"['Cantrill Reservoir', 'Stevens Reservoir Number 2 and 3', 'Spring Gulch Reservoir']",38
08037,Eagle County,[],158
08039,Elbert County,"['Kiowa Creek Watershed 2-K-10 Reservoir', 'Kiowa Creek Watershed 2-G-10 Reservoir']",6
08041,El Paso County,"['Stanley Reservoir', 'River Otter', 'West Cherry Creek Detention Number 2 Reservoir', 'Big Sandy Creek-Antelope Reservoir']",39
08043,Fremont County,[],6
08045,Garfield County,[],300
08047,Gilpin County,[],1
08049,Grand County,[],215
08051,Gunnison County,"['Powderhorn Swamp', 'Porphyry Park']",105
08053,Hinsdale County,[],160
