countyCode,state,total_claims,total_building_damage,total_content_damage
26125,MI,577,4835147.83,611887.21
26127,MI,27,81624.33,18753.76
26131,MI,9,3272.71,1380.42
26133,MI,52,994305.08,137185.12
26139,MI,328,2925230.99,357405.48
26141,MI,1,0.0,0.0
26143,MI,1,16141.66,0.0
26145,MI,758,10828973.06,599096.75
26147,MI,1181,4734521.61,434962.87
26149,MI,110,1141198.07,495895.99
26151,MI,14,110731.0,2097.0
26153,MI,2,7513.22,2505.81
26155,MI,61,86803.42,10442.85
26157,MI,133,888917.2,149228.78
26159,MI,31,221111.55,275.97
26161,MI,132,1512357.0,120047.99
26163,MI,2879,12072969.77,1444165.03
26165,MI,7,20098.16,0.0
27001,MN,95,711221.12,43565.78
27003,MN,96,395618.42,55521.01
27005,MN,92,1088928.37,52231.07
27007,MN,3,11207.01,0.0
27009,MN,46,168635.21,11335.96
27011,MN,92,754823.75,79470.03
27013,MN,92,1104998.88,214658.84
27015,MN,35,423427.36,69948.31
27017,MN,19,481964.06,145207.11
27019,MN,70,189714.72,25145.06
27021,MN,12,51667.92,13732.86
27023,MN,172,2199260.83,323477.66
27025,MN,37,369155.51,52571.66
27027,MN,1358,12778501.44,902672.91
27029,MN,15,212765.28,21754.21
27031,MN,15,64491.52,0.0
27033,MN,43,451354.83,18276.72
27035,MN,13,70730.68,984.6
27037,MN,181,2821701.54,1060765.26
27039,MN,32,382174.41,64310.36
27041,MN,16,275973.33,5328.91
27043,MN,12,61766.28,8680.02
27045,MN,99,654524.88,98588.97
27047,MN,45,770476.44,131258.08
27049,MN,209,2164706.58,521403.1
27051,MN,3,62419.53,0.0
27053,MN,682,3978416.26,613706.52
27055,MN,78,1002074.96,46407.67
27057,MN,28,289384.09,2313.81
27059,MN,26,172995.83,53367.25
27061,MN,12,118702.85,3204.61
27063,MN,20,339822.53,26324.22
27065,MN,21,171803.88,1194.06
27067,MN,8,70120.89,62205.53
27069,MN,247,1590220.24,163151.82
27071,MN,17,320770.35,1588.0
27073,MN,45,219948.87,4408.87
27075,MN,9,905074.5,33194.59
27077,MN,5,103261.04,25357.47
27079,MN,87,2374467.4,205837.2
27081,MN,3,7495.78,0.0
27083,MN,63,159720.77,3729.78
27085,MN,19,94178.82,8328.05
27087,MN,10,111786.7,37820.74
27089,MN,1405,5755873.11,1021507.53
27093,MN,6,122104.12,19479.58
27095,MN,24,97390.83,21539.47
27097,MN,50,554010.1,59354.2
27099,MN,730,8685950.15,2264467.23
27101,MN,15,165080.85,634.45
27103,MN,59,536552.47,16426.55
27105,MN,83,205617.26,3811.07
27107,MN,247,1882283.49,568548.76
27109,MN,719,4595880.37,679404.03
27111,MN,109,1340686.48,55731.88
27113,MN,25,54302.96,3472.68
27115,MN,60,1116684.73,239469.04
27117,MN,17,294017.8,63376.47
27119,MN,1455,32422763.28,3855234.24
27121,MN,7,37544.61,553.8
27123,MN,145,1200469.27,148657.31
27125,MN,2,7068.75,1172.63
27127,MN,3,126607.12,16845.01
27129,MN,6,58449.76,11240.53
27131,MN,78,2340450.3,1235963.54
27133,MN,29,158962.26,3148.7
27135,MN,279,3217090.18,150764.26
27137,MN,183,1604597.31,187673.95
27139,MN,117,1072977.38,59912.86
27141,MN,59,472880.36,5437.01
27143,MN,12,65259.43,955.48
27145,MN,111,830982.83,251265.52
27147,MN,90,1962823.46,83520.64
27149,MN,2,7926.0,0.0
27151,MN,12,121683.9,22313.73
27153,MN,13,109800.12,16835.45
27155,MN,146,895351.72,169853.71
27157,MN,162,3123424.41,213738.67
27159,MN,7,29785.57,2678.22
27161,MN,9,94210.58,16995.35
27163,MN,533,5153881.68,195364.2
27165,MN,16,942227.05,190597.81
27167,MN,495,6300340.15,1104669.59
27169,MN,115,3556049.15,218340.56
27171,MN,223,1937550.84,62428.84
27173,MN,146,1678265.76,243941.84
28001,MS,187,1171849.61,258721.71
28003,MS,67,3156840.4,1189820.53
28005,MS,24,155099.75,39434.48
28007,MS,26,394680.63,60785.49
28009,MS,3,518.3,280.0
28011,MS,994,17281257.37,2415829.05
28013,MS,38,636765.48,170474.31
28015,MS,16,227377.47,41065.45
28017,MS,3,8170.38,0.0
28019,MS,17,126823.95,27956.69
28021,MS,222,1917999.46,441599.53
28023,MS,79,1163554.91,141115.27
28025,MS,121,1244228.45,74769.54
28027,MS,333,5827273.49,706795.54
28029,MS,37,218443.16,20613.74
28031,MS,70,475016.07,211680.43
28033,MS,280,5740875.75,926184.54
28035,MS,1751,10439722.9,2192619.77
28037,MS,12,45172.33,53557.94
28039,MS,65,326143.45,59008.58
28041,MS,45,566501.79,84541.69
28043,MS,320,2896006.2,837708.99
28045,MS,9843,556831309.91,168283817.85
